"","playerId","player","team","conference","category","statType","stat"
"173","385331","John Goodman","Notre Dame","FBS Independents","passing","PCT","0.500"
"174","237402","Duval Kamara","Notre Dame","FBS Independents","receiving","REC","11"
"175","483400","Robby Toma","Notre Dame","FBS Independents","receiving","YDS","187"
"176","476000","David Ruffer","Notre Dame","FBS Independents","kicking","LONG","50"
"177","483401","Ben Turk","Notre Dame","FBS Independents","punting","LONG","56"
"178","385438","Kyle Rudolph","Notre Dame","FBS Independents","receiving","LONG","95"
"179","385331","John Goodman","Notre Dame","FBS Independents","receiving","YDS","146"
"180","385320","Robert Blanton","Notre Dame","FBS Independents","interceptions","TD","0"
"181","483393","Theo Riddick","Notre Dame","FBS Independents","kickReturns","AVG","18.0"
"182","500930","Harrison Smith","Notre Dame","FBS Independents","interceptions","YDS","54"
"183","385324","Dayne Crist","Notre Dame","FBS Independents","passing","TD","15"
"184","385320","Robert Blanton","Notre Dame","FBS Independents","interceptions","INT","2"
"185","483400","Robby Toma","Notre Dame","FBS Independents","receiving","YPR","13.4"
"186","483393","Theo Riddick","Notre Dame","FBS Independents","kickReturns","NO","2"
"187","385440","Jamoris Slaughter","Notre Dame","FBS Independents","interceptions","TD","0"
"188","483393","Theo Riddick","Notre Dame","FBS Independents","rushing","CAR","11"
"189","385332","Jonas Gray","Notre Dame","FBS Independents","kickReturns","TD","0"
"190","231811","Gary Gray","Notre Dame","FBS Independents","interceptions","AVG","9.0"
"191","385341","Nate Montana","Notre Dame","FBS Independents","passing","COMPLETIONS","9"
"192","483392","Zeke Motta","Notre Dame","FBS Independents","interceptions","INT","1"
"193","379067","Michael Floyd","Notre Dame","FBS Independents","receiving","LONG","80"
"194","385324","Dayne Crist","Notre Dame","FBS Independents","passing","INT","7"
"195","237399","Robert Hughes","Notre Dame","FBS Independents","receiving","REC","7"
"196","500914","Bennett Jackson","Notre Dame","FBS Independents","rushing","CAR","1"
"197","483393","Theo Riddick","Notre Dame","FBS Independents","rushing","YPC","2.6"
"198","237426","Ian Williams","Notre Dame","FBS Independents","interceptions","AVG","0.0"
"199","389142","Armando Allen Jr.","Notre Dame","FBS Independents","receiving","YDS","138"
"200","480250","Cierre Wood","Notre Dame","FBS Independents","kickReturns","TD","0"
"201","385331","John Goodman","Notre Dame","FBS Independents","passing","ATT","2"
"202","500914","Bennett Jackson","Notre Dame","FBS Independents","kickReturns","TD","0"
"203","189206","Darrin Walls","Notre Dame","FBS Independents","interceptions","TD","1"
"204","483387","Tyler Eifert","Notre Dame","FBS Independents","receiving","YPR","13.0"
"205","389142","Armando Allen Jr.","Notre Dame","FBS Independents","puntReturns","NO","7"
"206","389142","Armando Allen Jr.","Notre Dame","FBS Independents","receiving","REC","17"
"207","500923","Thomas Rees","Notre Dame","FBS Independents","passing","COMPLETIONS","100"
"208","385320","Robert Blanton","Notre Dame","FBS Independents","puntReturns","LONG","25"
"209","385331","John Goodman","Notre Dame","FBS Independents","puntReturns","TD","0"
"210","500914","Bennett Jackson","Notre Dame","FBS Independents","puntReturns","YDS","0"
"211","483387","Tyler Eifert","Notre Dame","FBS Independents","receiving","LONG","39"
"212","385341","Nate Montana","Notre Dame","FBS Independents","rushing","LONG","10"
"213","237411","Mike Ragone","Notre Dame","FBS Independents","receiving","YDS","32"
"214","237402","Duval Kamara","Notre Dame","FBS Independents","receiving","YDS","112"
"215","379067","Michael Floyd","Notre Dame","FBS Independents","rushing","YPC","9.0"
"216","500910","Austin Collinsworth","Notre Dame","FBS Independents","kickReturns","LONG","34"
"217","389142","Armando Allen Jr.","Notre Dame","FBS Independents","passing","ATT","1"
"218","483398","Nick Tausch","Notre Dame","FBS Independents","kicking","FGM","1"
"219","389142","Armando Allen Jr.","Notre Dame","FBS Independents","puntReturns","YDS","47"
"220","480250","Cierre Wood","Notre Dame","FBS Independents","rushing","CAR","119"
"221","189206","Darrin Walls","Notre Dame","FBS Independents","interceptions","YDS","43"
"222","231811","Gary Gray","Notre Dame","FBS Independents","interceptions","TD","0"
"223","385341","Nate Montana","Notre Dame","FBS Independents","passing","INT","1"
"224","480250","Cierre Wood","Notre Dame","FBS Independents","receiving","LONG","23"
"225","385341","Nate Montana","Notre Dame","FBS Independents","rushing","YPC","2.8"
"226","379067","Michael Floyd","Notre Dame","FBS Independents","receiving","YPR","13.0"
"227","483392","Zeke Motta","Notre Dame","FBS Independents","interceptions","AVG","0.0"
"228","500914","Bennett Jackson","Notre Dame","FBS Independents","puntReturns","LONG","0"
"229","389142","Armando Allen Jr.","Notre Dame","FBS Independents","rushing","TD","2"
"230","389142","Armando Allen Jr.","Notre Dame","FBS Independents","passing","YDS","3"
"231","385329","Darius Fleming","Notre Dame","FBS Independents","interceptions","YDS","0"
"232","483393","Theo Riddick","Notre Dame","FBS Independents","receiving","YDS","414"
"233","237402","Duval Kamara","Notre Dame","FBS Independents","receiving","TD","3"
"234","237411","Mike Ragone","Notre Dame","FBS Independents","receiving","REC","3"
"235","500915","TJ Jones","Notre Dame","FBS Independents","receiving","REC","23"
"236","480250","Cierre Wood","Notre Dame","FBS Independents","kickReturns","NO","15"
"237","237399","Robert Hughes","Notre Dame","FBS Independents","receiving","TD","0"
"238","385320","Robert Blanton","Notre Dame","FBS Independents","interceptions","AVG","-0.5"
"239","385440","Jamoris Slaughter","Notre Dame","FBS Independents","interceptions","INT","1"
"240","237399","Robert Hughes","Notre Dame","FBS Independents","receiving","LONG","37"
"241","379067","Michael Floyd","Notre Dame","FBS Independents","rushing","CAR","1"
"242","385331","John Goodman","Notre Dame","FBS Independents","receiving","YPR","9.7"
"243","483398","Nick Tausch","Notre Dame","FBS Independents","kicking","FGA","1"
"244","483392","Zeke Motta","Notre Dame","FBS Independents","interceptions","TD","0"
"245","500923","Thomas Rees","Notre Dame","FBS Independents","passing","YDS","1106"
"246","237426","Ian Williams","Notre Dame","FBS Independents","interceptions","TD","0"
"247","237399","Robert Hughes","Notre Dame","FBS Independents","rushing","LONG","30"
"248","480250","Cierre Wood","Notre Dame","FBS Independents","receiving","REC","20"
"249","500923","Thomas Rees","Notre Dame","FBS Independents","rushing","LONG","12"
"250","385331","John Goodman","Notre Dame","FBS Independents","passing","COMPLETIONS","1"
"251","483393","Theo Riddick","Notre Dame","FBS Independents","rushing","YDS","29"
"252","385331","John Goodman","Notre Dame","FBS Independents","puntReturns","LONG","13"
"253","500915","TJ Jones","Notre Dame","FBS Independents","receiving","LONG","53"
"254","385329","Darius Fleming","Notre Dame","FBS Independents","interceptions","AVG","0.0"
"255","500914","Bennett Jackson","Notre Dame","FBS Independents","kickReturns","AVG","22.2"
"256","500930","Harrison Smith","Notre Dame","FBS Independents","interceptions","TD","0"
