"","playerId","player","team","conference","category","statType","stat"
"1","379067","Michael Floyd","Notre Dame","FBS Independents","rushing","CAR","1"
"2","379067","Michael Floyd","Notre Dame","FBS Independents","rushing","TD","0"
"3","483393","Theo Riddick","Notre Dame","FBS Independents","kickReturns","NO","37"
"4","389142","Armando Allen Jr.","Notre Dame","FBS Independents","passing","YDS","5"
"5","480216","Shaq Evans","Notre Dame","FBS Independents","receiving","LONG","15"
"6","480216","Shaq Evans","Notre Dame","FBS Independents","receiving","TD","0"
"7","189191","Eric Maust","Notre Dame","FBS Independents","rushing","LONG","4"
"8","483384","Bobby Burger","Notre Dame","FBS Independents","receiving","YDS","10"
"9","385320","Robert Blanton","Notre Dame","FBS Independents","interceptions","TD","0"
"10","237421","Golden Tate","Notre Dame","FBS Independents","kickReturns","TD","0"
"11","231811","Gary Gray","Notre Dame","FBS Independents","interceptions","INT","1"
"12","189191","Eric Maust","Notre Dame","FBS Independents","passing","INT","0"
"13","389142","Armando Allen Jr.","Notre Dame","FBS Independents","rushing","YPC","4.9"
"14","389142","Armando Allen Jr.","Notre Dame","FBS Independents","receiving","LONG","26"
"15","483401","Ben Turk","Notre Dame","FBS Independents","punting","YDS","994"
"16","483393","Theo Riddick","Notre Dame","FBS Independents","kickReturns","TD","0"
"17","385324","Dayne Crist","Notre Dame","FBS Independents","passing","COMPLETIONS","10"
"18","237399","Robert Hughes","Notre Dame","FBS Independents","receiving","REC","19"
"19","237421","Golden Tate","Notre Dame","FBS Independents","receiving","YDS","1496"
"20","189206","Darrin Walls","Notre Dame","FBS Independents","interceptions","INT","1"
"21","483398","Nick Tausch","Notre Dame","FBS Independents","kicking","PCT","0.824"
"22","385332","Jonas Gray","Notre Dame","FBS Independents","rushing","CAR","34"
"23","385331","John Goodman","Notre Dame","FBS Independents","puntReturns","LONG","24"
"24","379067","Michael Floyd","Notre Dame","FBS Independents","receiving","LONG","88"
"25","483401","Ben Turk","Notre Dame","FBS Independents","punting","NO","26"
"26","385443","Deion Walker","Notre Dame","FBS Independents","receiving","YDS","15"
"27","385324","Dayne Crist","Notre Dame","FBS Independents","passing","YDS","130"
"28","483401","Ben Turk","Notre Dame","FBS Independents","punting","In 20","0"
"29","385320","Robert Blanton","Notre Dame","FBS Independents","interceptions","INT","2"
"30","483393","Theo Riddick","Notre Dame","FBS Independents","receiving","TD","0"
"31","237421","Golden Tate","Notre Dame","FBS Independents","kickReturns","YDS","62"
"32","189191","Eric Maust","Notre Dame","FBS Independents","rushing","YDS","4"
"33","189191","Eric Maust","Notre Dame","FBS Independents","passing","ATT","1"
"34","379067","Michael Floyd","Notre Dame","FBS Independents","receiving","TD","9"
"35","385443","Deion Walker","Notre Dame","FBS Independents","receiving","REC","1"
"36","237416","Brian Smith","Notre Dame","FBS Independents","interceptions","TD","0"
"37","483393","Theo Riddick","Notre Dame","FBS Independents","rushing","YDS","160"
"38","480216","Shaq Evans","Notre Dame","FBS Independents","receiving","REC","7"
"39","231813","Jimmy Clausen","Notre Dame","FBS Independents","passing","TD","28"
"40","231813","Jimmy Clausen","Notre Dame","FBS Independents","passing","INT","4"
"41","237399","Robert Hughes","Notre Dame","FBS Independents","rushing","LONG","37"
"42","385331","John Goodman","Notre Dame","FBS Independents","receiving","TD","1"
"43","189187","Barry Gallup Jr.","Notre Dame","FBS Independents","kickReturns","NO","9"
"44","237399","Robert Hughes","Notre Dame","FBS Independents","receiving","YDS","193"
"45","189191","Eric Maust","Notre Dame","FBS Independents","punting","TB","0"
"46","476000","David Ruffer","Notre Dame","FBS Independents","kicking","XPA","10"
"47","483400","Robby Toma","Notre Dame","FBS Independents","kickReturns","AVG","11.0"
"48","189195","Robby Parris","Notre Dame","FBS Independents","receiving","YDS","227"
"49","483400","Robby Toma","Notre Dame","FBS Independents","kickReturns","YDS","11"
"50","385438","Kyle Rudolph","Notre Dame","FBS Independents","receiving","YPR","11.0"
"51","237399","Robert Hughes","Notre Dame","FBS Independents","receiving","TD","0"
"52","389142","Armando Allen Jr.","Notre Dame","FBS Independents","receiving","YPR","7.7"
"53","189191","Eric Maust","Notre Dame","FBS Independents","punting","YDS","681"
"54","483384","Bobby Burger","Notre Dame","FBS Independents","receiving","REC","2"
"55","385438","Kyle Rudolph","Notre Dame","FBS Independents","receiving","YDS","364"
"56","385331","John Goodman","Notre Dame","FBS Independents","rushing","TD","0"
"57","389142","Armando Allen Jr.","Notre Dame","FBS Independents","passing","PCT","1.000"
"58","483398","Nick Tausch","Notre Dame","FBS Independents","kicking","XPA","30"
"59","483400","Robby Toma","Notre Dame","FBS Independents","receiving","YPR","7.0"
"60","237421","Golden Tate","Notre Dame","FBS Independents","rushing","LONG","33"
"61","385443","Deion Walker","Notre Dame","FBS Independents","receiving","TD","0"
