"","season","team","conference","statName","statValue"
"406",2013,"Notre Dame","FBS Independents","rushingYards",1963
"407",2013,"Notre Dame","FBS Independents","thirdDowns",176
"408",2018,"Notre Dame","FBS Independents","fumblesRecovered",9
"409",2010,"Notre Dame","FBS Independents","kickReturnTDs",0
"410",2022,"Notre Dame","FBS Independents","thirdDownConversions",83
"411",2011,"Notre Dame","FBS Independents","fourthDownConversions",6
"412",2008,"Notre Dame","FBS Independents","possessionTime",14841
"413",2011,"Notre Dame","FBS Independents","interceptionTDs",1
"414",2009,"Notre Dame","FBS Independents","interceptions",5
"415",2017,"Notre Dame","FBS Independents","sacks",24
"416",1927,"Notre Dame","FBS Independents","games",9
"417",2001,"Notre Dame","FBS Independents","games",11
"418",2010,"Notre Dame","FBS Independents","penalties",58
"419",2004,"Notre Dame","FBS Independents","thirdDowns",183
"420",2006,"Notre Dame","FBS Independents","puntReturns",33
"421",1950,"Notre Dame","FBS Independents","games",9
"422",2015,"Notre Dame","FBS Independents","passCompletions",241
"423",2004,"Notre Dame","FBS Independents","interceptionYards",201
"424",2017,"Notre Dame","FBS Independents","fourthDowns",18
"425",2014,"Notre Dame","FBS Independents","penalties",58
"426",2011,"Notre Dame","FBS Independents","firstDowns",308
"427",2020,"Notre Dame","FBS Independents","puntReturnYards",128
"428",2014,"Notre Dame","FBS Independents","games",13
"429",2007,"Notre Dame","FBS Independents","rushingAttempts",437
"430",2014,"Notre Dame","FBS Independents","kickReturnTDs",0
"431",2012,"Notre Dame","FBS Independents","fumblesLost",7
"432",2004,"Notre Dame","FBS Independents","penalties",0
"433",2007,"Notre Dame","FBS Independents","thirdDowns",193
"434",2016,"Notre Dame","FBS Independents","totalYards",5011
"435",2019,"Notre Dame","FBS Independents","kickReturns",29
"436",2015,"Notre Dame","FBS Independents","rushingTDs",29
"437",2020,"Notre Dame","FBS Independents","passCompletions",231
"438",2023,"Notre Dame","FBS Independents","kickReturns",7
"439",2023,"Notre Dame","FBS Independents","puntReturns",6
"440",2008,"Notre Dame","FBS Independents","passAttempts",447
"441",2010,"Notre Dame","FBS Independents","puntReturns",49
"442",2007,"Notre Dame","FBS Independents","penaltyYards",708
"443",2022,"Notre Dame","FBS Independents","sacks",37
"444",2015,"Notre Dame","FBS Independents","turnovers",20
"445",1978,"Notre Dame","FBS Independents","games",12
"446",2018,"Notre Dame","FBS Independents","games",13
"447",2019,"Notre Dame","FBS Independents","interceptionYards",107
"448",2021,"Notre Dame","FBS Independents","netPassingYards",3672
"449",2015,"Notre Dame","FBS Independents","passAttempts",385
"450",2020,"Notre Dame","FBS Independents","fumblesRecovered",10
"451",2016,"Notre Dame","FBS Independents","fourthDownConversions",13
"452",2012,"Notre Dame","FBS Independents","firstDowns",281
"453",2011,"Notre Dame","FBS Independents","puntReturns",46
"454",2011,"Notre Dame","FBS Independents","penaltyYards",758
"455",2022,"Notre Dame","FBS Independents","fourthDowns",16
"456",2016,"Notre Dame","FBS Independents","rushingTDs",18
"457",2008,"Notre Dame","FBS Independents","passesIntercepted",14
"458",2007,"Notre Dame","FBS Independents","passesIntercepted",11
"459",2011,"Notre Dame","FBS Independents","games",13
"460",2008,"Notre Dame","FBS Independents","firstDowns",249
"461",2021,"Notre Dame","FBS Independents","tacklesForLoss",84
"462",1924,"Notre Dame","FBS Independents","games",10
"463",2011,"Notre Dame","FBS Independents","puntReturnYards",48
"464",2017,"Notre Dame","FBS Independents","rushingAttempts",560
"465",1973,"Notre Dame","FBS Independents","games",11
"466",2020,"Notre Dame","FBS Independents","rushingYards",2537
"467",1918,"Notre Dame","FBS Independents","games",6
"468",1963,"Notre Dame","FBS Independents","games",9
"469",2009,"Notre Dame","FBS Independents","passAttempts",447
"470",2012,"Notre Dame","FBS Independents","turnovers",15
"471",2013,"Notre Dame","FBS Independents","interceptionTDs",3
"472",2006,"Notre Dame","FBS Independents","totalYards",5067
"473",2014,"Notre Dame","FBS Independents","turnovers",26
"474",1995,"Notre Dame","FBS Independents","games",12
"475",2015,"Notre Dame","FBS Independents","thirdDownConversions",68
"476",2009,"Notre Dame","FBS Independents","kickReturnYards",1085
