"","playerId","player","team","conference","category","statType","stat"
"1","389142","Armando Allen Jr.","Notre Dame","FBS Independents","rushing","YPC","4.4"
"2","237399","Robert Hughes","Notre Dame","FBS Independents","receiving","REC","14"
"3","189195","Robby Parris","Notre Dame","FBS Independents","receiving","LONG","12"
"4","174099","Evan Sharpley","Notre Dame","FBS Independents","rushing","LONG","2"
"5","379067","Michael Floyd","Notre Dame","FBS Independents","receiving","YDS","719"
"6","237421","Golden Tate","Notre Dame","FBS Independents","rushing","YPC","7.4"
"7","174092","Pat Kuntz","Notre Dame","FBS Independents","interceptions","INT","1"
"8","237407","Kerry Neal","Notre Dame","FBS Independents","interceptions","YDS","2"
"9","189191","Eric Maust","Notre Dame","FBS Independents","rushing","CAR","1"
"10","189192","Raeshon McNeil","Notre Dame","FBS Independents","interceptions","TD","0"
"11","189177","Mike Anello","Notre Dame","FBS Independents","puntReturns","LONG","28"
"12","389142","Armando Allen Jr.","Notre Dame","FBS Independents","rushing","LONG","21"
"13","174085","David Grimes","Notre Dame","FBS Independents","receiving","YDS","321"
"14","231811","Gary Gray","Notre Dame","FBS Independents","interceptions","AVG","32.5"
"15","237421","Golden Tate","Notre Dame","FBS Independents","puntReturns","NO","24"
"16","237421","Golden Tate","Notre Dame","FBS Independents","puntReturns","LONG","42"
"17","189204","Toryan Smith","Notre Dame","FBS Independents","puntReturns","YDS","14"
"18","231813","Jimmy Clausen","Notre Dame","FBS Independents","passing","ATT","440"
"19","237407","Kerry Neal","Notre Dame","FBS Independents","interceptions","TD","0"
"20","379067","Michael Floyd","Notre Dame","FBS Independents","receiving","REC","48"
"21","389142","Armando Allen Jr.","Notre Dame","FBS Independents","puntReturns","NO","12"
"22","237399","Robert Hughes","Notre Dame","FBS Independents","receiving","YDS","93"
"23","231811","Gary Gray","Notre Dame","FBS Independents","interceptions","TD","0"
"24","476000","David Ruffer","Notre Dame","FBS Independents","kicking","PCT","0"
"25","184791","George West","Notre Dame","FBS Independents","puntReturns","AVG","1.5"
"26","389142","Armando Allen Jr.","Notre Dame","FBS Independents","rushing","CAR","134"
"27","237402","Duval Kamara","Notre Dame","FBS Independents","receiving","YDS","206"
"28","189192","Raeshon McNeil","Notre Dame","FBS Independents","puntReturns","AVG","3.0"
"29","237425","Brandon Walker","Notre Dame","FBS Independents","kicking","FGM","14"
"30","189191","Eric Maust","Notre Dame","FBS Independents","punting","LONG","54"
"31","231811","Gary Gray","Notre Dame","FBS Independents","interceptions","YDS","65"
"32","237399","Robert Hughes","Notre Dame","FBS Independents","rushing","TD","4"
"33","174085","David Grimes","Notre Dame","FBS Independents","puntReturns","NO","6"
"34","174085","David Grimes","Notre Dame","FBS Independents","rushing","CAR","2"
"35","385320","Robert Blanton","Notre Dame","FBS Independents","interceptions","AVG","23.5"
"36","184791","George West","Notre Dame","FBS Independents","receiving","TD","0"
"37","476000","David Ruffer","Notre Dame","FBS Independents","kicking","PTS","0"
"38","174092","Pat Kuntz","Notre Dame","FBS Independents","interceptions","YDS","0"
"39","231813","Jimmy Clausen","Notre Dame","FBS Independents","passing","PCT","0.609"
"40","174060","David Bruton Jr.","Notre Dame","FBS Independents","interceptions","TD","0"
"41","231813","Jimmy Clausen","Notre Dame","FBS Independents","rushing","TD","0"
"42","174097","Asaph Schwapp","Notre Dame","FBS Independents","receiving","TD","0"
"43","174099","Evan Sharpley","Notre Dame","FBS Independents","rushing","CAR","4"
"44","379067","Michael Floyd","Notre Dame","FBS Independents","receiving","YPR","15.0"
"45","237425","Brandon Walker","Notre Dame","FBS Independents","kicking","PCT","0.583"
"46","476000","David Ruffer","Notre Dame","FBS Independents","kicking","LONG","0"
"47","174085","David Grimes","Notre Dame","FBS Independents","receiving","YPR","9.2"
"48","231813","Jimmy Clausen","Notre Dame","FBS Independents","passing","INT","17"
"49","189204","Toryan Smith","Notre Dame","FBS Independents","puntReturns","TD","1"
"50","389142","Armando Allen Jr.","Notre Dame","FBS Independents","puntReturns","TD","0"
"51","385332","Jonas Gray","Notre Dame","FBS Independents","rushing","TD","0"
"52","389142","Armando Allen Jr.","Notre Dame","FBS Independents","receiving","LONG","41"
"53","189192","Raeshon McNeil","Notre Dame","FBS Independents","interceptions","AVG","23.5"
"54","184792","James Aldridge","Notre Dame","FBS Independents","receiving","LONG","6"
"55","389142","Armando Allen Jr.","Notre Dame","FBS Independents","puntReturns","LONG","22"
"56","476000","David Ruffer","Notre Dame","FBS Independents","kicking","XPM","0"
"57","174085","David Grimes","Notre Dame","FBS Independents","receiving","REC","35"
"58","389142","Armando Allen Jr.","Notre Dame","FBS Independents","rushing","TD","3"
"59","189177","Mike Anello","Notre Dame","FBS Independents","puntReturns","AVG","28.0"
"60","237402","Duval Kamara","Notre Dame","FBS Independents","receiving","LONG","28"
"61","237399","Robert Hughes","Notre Dame","FBS Independents","rushing","LONG","18"
"62","237421","Golden Tate","Notre Dame","FBS Independents","rushing","CAR","5"
"63","174100","Scott Smith","Notre Dame","FBS Independents","puntReturns","TD","0"
"64","184792","James Aldridge","Notre Dame","FBS Independents","receiving","YPR","0.3"
"65","174093","Kyle McCarthy","Notre Dame","FBS Independents","interceptions","INT","2"
"66","389142","Armando Allen Jr.","Notre Dame","FBS Independents","receiving","REC","50"
"67","174099","Evan Sharpley","Notre Dame","FBS Independents","passing","ATT","5"
"68","174100","Scott Smith","Notre Dame","FBS Independents","puntReturns","LONG","6"
"69","184791","George West","Notre Dame","FBS Independents","puntReturns","TD","0"
"70","237402","Duval Kamara","Notre Dame","FBS Independents","receiving","TD","1"
"71","174097","Asaph Schwapp","Notre Dame","FBS Independents","receiving","YPR","6.5"
"72","174097","Asaph Schwapp","Notre Dame","FBS Independents","receiving","LONG","10"
"73","184792","James Aldridge","Notre Dame","FBS Independents","rushing","CAR","91"
"74","174099","Evan Sharpley","Notre Dame","FBS Independents","rushing","YPC","0.3"
"75","189191","Eric Maust","Notre Dame","FBS Independents","punting","YDS","2218"
"76","184792","James Aldridge","Notre Dame","FBS Independents","receiving","TD","0"
"77","174092","Pat Kuntz","Notre Dame","FBS Independents","interceptions","AVG","0.0"
"78","189192","Raeshon McNeil","Notre Dame","FBS Independents","interceptions","YDS","47"
"79","237399","Robert Hughes","Notre Dame","FBS Independents","rushing","YPC","3.4"
"80","174085","David Grimes","Notre Dame","FBS Independents","rushing","LONG","10"
"81","237425","Brandon Walker","Notre Dame","FBS Independents","kicking","XPA","39"
"82","189191","Eric Maust","Notre Dame","FBS Independents","rushing","YDS","-8"
"83","189191","Eric Maust","Notre Dame","FBS Independents","punting","YPP","41.1"
