"","collegeAthleteId","nflAthleteId","collegeId","collegeTeam","collegeConference","nflTeam","year","overall","round","pick","name","position","height","weight","preDraftRanking","preDraftPositionRanking","preDraftGrade","hometownInfo.city","hometownInfo.state","hometownInfo.country","hometownInfo.latitude","hometownInfo.longitude","hometownInfo.countyFips"
"188",NA,14128,87,"Notre Dame","FBS Independents","New Orleans",1971,158,7,2,"Larry DiNardo","Offensive Guard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",2222802,4620,87,"Notre Dame","FBS Independents","Kansas City",1992,159,6,19,"Tony Smith","Wide Receiver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",NA,21753,87,"Notre Dame","FBS Independents","Cleveland",1992,163,6,23,"George Williams","Defensive Tackle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",4430737,105597,87,"Notre Dame","FBS Independents","Los Angeles",2022,164,5,21,"Kyren Williams","Running Back",69,194,163,13,59,"Saint Louis","MO","USA","38.6264178","-90.1998378","29510"
"192",2980137,19164,87,"Notre Dame","FBS Independents","Pittsburgh",1984,164,6,24,"Chris Brown","Defensive Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",385329,28747,87,"Notre Dame","FBS Independents","San Francisco",2012,165,5,30,"Darius Fleming","Outside Linebacker",74,245,163,14,55,"Chicago","IL","USA","41.8755616","-87.6244212","17031"
"194",2080102,10877,87,"Notre Dame","FBS Independents","Jacksonville",2007,166,5,29,"Derek Landri","Defensive Tackle",75,288,109,11,69,NA,NA,NA,NA,NA,NA
"195",NA,23309,87,"Notre Dame","FBS Independents","Pittsburgh",1999,166,5,33,"Malcolm Johnson","Wide Receiver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",NA,19168,87,"Notre Dame","FBS Independents","Las Vegas",1984,168,6,28,"Stacey Toran","Defensive Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",NA,7245,87,"Notre Dame","FBS Independents","Tampa Bay",2003,168,5,33,"Sean Mahan","Offensive Guard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",1940173,7294,87,"Notre Dame","FBS Independents","Houston",2004,170,6,5,"Vontez Duff","Defensive Back",71,198,174,20,57,NA,NA,NA,NA,NA,NA
"199",NA,6787,87,"Notre Dame","FBS Independents","Los Angeles",2003,170,5,35,"Shane Walton","Defensive Back",NA,184,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",4039028,105147,87,"Notre Dame","FBS Independents","Baltimore",2021,171,5,27,"Daelin Hayes","Defensive End",76,253,134,12,65,"Belleville","MI","USA","42.2048414","-83.4852106","17163"
"201",2313911,30011,87,"Notre Dame","FBS Independents","Cleveland",2013,175,6,7,"Jamoris Slaughter","Safety",72,195,230,19,46,NA,NA,NA,NA,NA,NA
"202",NA,20181,87,"Notre Dame","FBS Independents","Tennessee",1987,176,7,8,"Robert Banks","Defensive Tackle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",NA,14589,87,"Notre Dame","FBS Independents","New York",1972,177,7,21,"Mike Zikas","Defensive Tackle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",NA,415,87,"Notre Dame","FBS Independents","Buffalo",2001,178,6,15,"Tony Driver","Defensive Back",NA,215,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",-1026555,25392,87,"Notre Dame","FBS Independents","Dallas",2010,179,6,10,"Sam Young","Offensive Tackle",80,316,NA,15,49,"Coral Springs","FL","USA","26.26485615","-80.26534203798758","12011"
"206",1953126,7761,87,"Notre Dame","FBS Independents","Washington",2004,180,6,15,"Jim Molinaro","Offensive Tackle",78,308,215,18,50,NA,NA,NA,NA,NA,NA
"207",NA,6776,87,"Notre Dame","FBS Independents","Baltimore",2003,182,6,9,"Gerome Sapp","Defensive Back",NA,216,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",4046693,104905,87,"Notre Dame","FBS Independents","Atlanta",2021,182,5,38,"Adetokunbo Ogundeji","Defensive End",77,260,181,18,55,"West Bloomfield","MI","USA","42.5679","-83.3733","36069"
"209",-1026544,25797,87,"Notre Dame","FBS Independents","Denver",2010,183,6,14,"Eric Olsen","Center",76,306,NA,6,31,"Staten Island","NY","USA","40.564209","-74.12530461995391","36085"
"210",NA,21469,87,"Notre Dame","FBS Independents","Pittsburgh",1991,185,7,18,"Andre Jones","Linebacker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",4039413,104552,87,"Notre Dame","FBS Independents","Los Angeles",2020,186,6,7,"Alohi Gilman","Safety",71,201,142,11,60,"Laie","HI","USA","21.647244399999998","-157.93069756074482","15003"
"212",500914,34142,87,"Notre Dame","FBS Independents","New York",2014,187,6,11,"Bennett Jackson","Cornerback",72,195,251,34,39,"Hazlet","NJ","USA","40.4154057","-74.1905486","34025"
"213",2129236,11930,87,"Notre Dame","FBS Independents","Minnesota",2008,187,6,21,"John Sullivan","Center",76,301,121,3,65,NA,NA,NA,NA,NA,NA
"214",500915,34707,87,"Notre Dame","FBS Independents","Detroit",2014,189,6,13,"TJ Jones","Wide Receiver",72,188,169,25,53,"Roswell","GA","USA","34.02332","-84.360022","13121"
"215",NA,18188,87,"Notre Dame","FBS Independents","Los Angeles",1981,189,7,23,"Pete Holohan","Tight End",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",3932449,103641,87,"Notre Dame","FBS Independents","Green Bay",2019,194,6,21,"Dexter Williams","Running Back",71,212,212,16,54,"Winter Garden","FL","USA","28.5656649","-81.5856742","12095"
"217",NA,123,87,"Notre Dame","FBS Independents","Buffalo",2001,195,6,32,"Dan O'Leary","Tight End",NA,252,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,7150,87,"Notre Dame","FBS Independents","San Francisco",2003,197,6,24,"Arnaz Battle","Wide Receiver",NA,217,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",NA,4053,87,"Notre Dame","FBS Independents","Philadelphia",2002,198,6,26,"Tyreo Harrison","Linebacker",NA,232,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",483393,30196,87,"Notre Dame","FBS Independents","Detroit",2013,199,6,31,"Theo Riddick","Running Back",NA,201,NA,NA,NA,"Manville","NJ","USA","40.5409367","-74.587657","34035"
"221",-1026465,29213,87,"Notre Dame","FBS Independents","Baltimore",2013,200,6,32,"Kapron Lewis-Moore","Defensive End",76,298,241,25,44,"Weatherford","TX","USA","32.7589648","-97.7970748","48367"
"222",4372774,106391,87,"Notre Dame","FBS Independents","Houston",2023,201,6,24,"Jarrett Patterson","Center",77,306,235,8,43,"Laguna Hills","CA","USA","33.5948758","-117.6882067","06059"
"223",NA,16382,87,"Notre Dame","FBS Independents","New Orleans",1976,201,7,19,"Ed Bauer","Offensive Guard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",2080107,11078,87,"Notre Dame","FBS Independents","New England",2007,202,6,28,"Mike Richardson","Defensive Back",71,189,NA,43,30,NA,NA,NA,NA,NA,NA
"225",2013255,9696,87,"Notre Dame","FBS Independents","New England",2006,205,6,36,"Dan Stevenson","Offensive Guard",77,300,NA,12,47,NA,NA,NA,NA,NA,NA
"226",NA,4331,87,"Notre Dame","FBS Independents","Baltimore",2002,206,6,34,"Javin Hunter","Wide Receiver",NA,186,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",3932442,101808,87,"Notre Dame","FBS Independents","Green Bay",2018,207,6,33,"Equanimeous St. Brown","Wide Receiver",77,214,139,19,64,"Anaheim","CA","USA","33.8347516","-117.911732","06059"
"228",3052895,23353,87,"Notre Dame","FBS Independents","Indianapolis",1999,210,7,4,"Hunter Smith","Punter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",NA,22301,87,"Notre Dame","FBS Independents","Minnesota",1994,211,7,17,"Pete Bercich","Linebacker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",NA,6942,87,"Notre Dame","FBS Independents","Green Bay",2003,212,6,39,"Brennan Curtin","Offensive Tackle",NA,318,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",NA,237,87,"Notre Dame","FBS Independents","Jacksonville",2001,213,7,13,"Anthony Denman","Linebacker",NA,236,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",NA,23548,87,"Notre Dame","FBS Independents","Denver",2000,214,7,8,"Jarious Jackson","Quarterback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",550963,51600,87,"Notre Dame","FBS Independents","Los Angeles",2017,225,7,7,"Isaac Rochell","Defensive End",76,280,181,16,55,"McDonough","GA","USA","33.4473361","-84.1468616","13151"
"234",517617,46987,87,"Notre Dame","FBS Independents","Jacksonville",2015,229,7,12,"Ben Koyack","Tight End",77,255,178,10,50,"Oil City","PA","USA","41.433948","-79.706441","42121"
"235",2080109,11104,87,"Notre Dame","FBS Independents","Cincinnati",2007,230,7,20,"Dan Santucci","Center",76,301,179,9,53,NA,NA,NA,NA,NA,NA
"236",3932433,103698,87,"Notre Dame","FBS Independents","New Orleans",2019,231,7,17,"Alize Mack","Tight End",76,249,204,16,55,"Las Vegas","NV","USA","36.1672559","-115.1485163","32003"
"237",NA,23376,87,"Notre Dame","FBS Independents","Tampa Bay",1999,233,7,27,"Autry Denson","Running Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",NA,23377,87,"Notre Dame","FBS Independents","San Francisco",1999,234,7,28,"Kory Minor","Linebacker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",NA,22522,87,"Notre Dame","FBS Independents","New Orleans",1995,242,7,34,"Travis Davis","Defensive Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",483392,29532,87,"Notre Dame","FBS Independents","Atlanta",2013,244,7,38,"Zeke Motta","Safety",74,213,174,13,55,"Vero Beach","FL","USA","27.6387163","-80.3975399","12061"
"241",4035656,105179,87,"Notre Dame","FBS Independents","Los Angeles",2021,249,7,22,"Ben Skowronek","Wide Receiver",75,220,210,36,48,"Fort Wayne","IN","USA","41.0799898","-85.1386015","18003"
"242",NA,4325,87,"Notre Dame","FBS Independents","New England",2002,253,7,42,"David Givens","Wide Receiver",NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",2129228,10989,87,"Notre Dame","FBS Independents","Cincinnati",2007,253,7,43,"Chinedum Ndukwe","Defensive Back",74,206,271,20,34,NA,NA,NA,NA,NA,NA
