"","collegeAthleteId","nflAthleteId","collegeId","collegeTeam","collegeConference","nflTeam","year","overall","round","pick","name","position","height","weight","preDraftRanking","preDraftPositionRanking","preDraftGrade","hometownInfo.city","hometownInfo.state","hometownInfo.country","hometownInfo.latitude","hometownInfo.longitude","hometownInfo.countyFips"
"87",4258599,104749,87,"Notre Dame","FBS Independents","Cleveland",2021,52,2,20,"Jeremiah Owusu-Koramoah","Inside Linebacker",74,221,12,1,91,"Hampton","VA","USA","37.0520315","-76.2856365","51650"
"88",NA,4021,87,"Notre Dame","FBS Independents","Baltimore",2002,52,2,20,"Anthony Weaver","Defensive Tackle",NA,296,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,14465,87,"Notre Dame","FBS Independents","Buffalo",1972,53,3,1,"Fred Swendsen","Defensive End",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",2080098,10312,87,"Notre Dame","FBS Independents","Dallas",2006,53,2,21,"Anthony Fasano","Tight End",76,259,48,4,86,NA,NA,NA,NA,NA,NA
"91",NA,22778,87,"Notre Dame","FBS Independents","San Francisco",1997,55,2,25,"Marc Edwards","Running Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,13587,87,"Notre Dame","FBS Independents","Buffalo",1970,57,3,5,"Jim Reilly","Offensive Guard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",2129213,10432,87,"Notre Dame","FBS Independents","Philadelphia",2007,57,2,25,"Victor Abiamiri","Defensive End",76,267,69,11,79,NA,NA,NA,NA,NA,NA
"94",NA,23646,87,"Notre Dame","FBS Independents","Denver",1967,59,3,6,"George Goeddeke","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",237421,25744,87,"Notre Dame","FBS Independents","Seattle",2010,60,2,28,"Golden Tate","Wide Receiver",70,199,51,4,84,"Hendersonville","TN","USA","36.3049177","-86.621443","47165"
"96",1953138,7568,87,"Notre Dame","FBS Independents","New Orleans",2004,60,2,28,"Courtney Watson","Linebacker",73,238,134,5,64,NA,NA,NA,NA,NA,NA
"97",NA,19733,87,"Notre Dame","FBS Independents","Tennessee",1986,61,3,6,"Allen Pinkett","Running Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,18729,87,"Notre Dame","FBS Independents","Chicago",1983,64,3,8,"Dave Duerson","Defensive Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,22155,87,"Notre Dame","FBS Independents","Miami",1994,65,2,36,"Tim Ruddy","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",4046690,104109,87,"Notre Dame","FBS Independents","Detroit",2020,67,3,3,"Julian Okwara","Outside Linebacker",76,252,64,6,77,"Charlotte","NC","USA","35.2272","-80.843083","37119"
"101",NA,154,87,"Notre Dame","FBS Independents","Chicago",2001,68,3,6,"Mike Gandy","Offensive Guard",NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,15807,87,"Notre Dame","FBS Independents","Denver",1975,69,3,17,"Drew Mahalic","Linebacker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2129221,10754,87,"Notre Dame","FBS Independents","Denver",2007,70,3,6,"Ryan Harris","Offensive Tackle",77,305,92,7,73,NA,NA,NA,NA,NA,NA
"104",NA,23655,87,"Notre Dame","FBS Independents","Buffalo",1967,70,3,17,"Tom Rhoads","Defensive End",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,21356,87,"Notre Dame","FBS Independents","Cincinnati",1991,72,3,17,"Bob Dahl","Defensive Tackle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",2013262,9099,87,"Notre Dame","FBS Independents","New York",2005,74,3,10,"Justin Tuck","Defensive End",77,265,45,8,87,NA,NA,NA,NA,NA,NA
"107",NA,22164,87,"Notre Dame","FBS Independents","Chicago",1994,74,3,9,"Jim Flanigan","Defensive Tackle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",2980150,49441,87,"Notre Dame","FBS Independents","Kansas City",2016,74,3,11,"Keivarae Russell","Cornerback",71,192,84,10,75,NA,NA,NA,NA,NA,NA
"109",NA,18407,87,"Notre Dame","FBS Independents","New Orleans",1982,76,3,21,"John Krimm","Defensive Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,12702,87,"Notre Dame","FBS Independents","Minnesota",1968,76,3,21,"Mike McGill","Linebacker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,17081,87,"Notre Dame","FBS Independents","San Francisco",1978,79,3,23,"Ernie Hughes","Offensive Guard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,13168,87,"Notre Dame","FBS Independents","Philadelphia",1969,80,4,2,"Bob Kuechenberg","Offensive Guard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,22172,87,"Notre Dame","FBS Independents","Los Angeles",1994,82,3,17,"Willie Clark","Defensive Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,19418,87,"Notre Dame","FBS Independents","Tennessee",1985,82,3,26,"Mike Kelley","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,17418,87,"Notre Dame","FBS Independents","San Francisco",1979,82,3,26,"Joe Montana","Quarterback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",4372780,105276,87,"Notre Dame","FBS Independents","Carolina",2021,83,3,20,"Tommy Tremble","Tight End",75,241,93,4,73,"Johns Creek","GA","USA","34.0181557","-84.190196","13121"
"117",-1026446,33599,87,"Notre Dame","FBS Independents","Houston",2014,83,3,19,"Louis Nix III","Defensive Tackle",74,331,36,2,88,"Jacksonville","FL","USA","30.3321838","-81.655651","12031"
"118",NA,23018,87,"Notre Dame","FBS Independents","Philadelphia",1998,85,3,24,"Allen Rossum","Defensive Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",NA,21676,87,"Notre Dame","FBS Independents","Indianapolis",1992,85,4,1,"Rodney Culver","Running Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,15382,87,"Notre Dame","FBS Independents","Minnesota",1974,86,4,8,"Mike Townsend","Defensive Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",NA,22809,87,"Notre Dame","FBS Independents","Indianapolis",1997,86,3,26,"Bert Berry","Linebacker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",2129241,11931,87,"Notre Dame","FBS Independents","Baltimore",2008,86,3,23,"Tom Zbikowski","Safety",71,211,98,4,71,NA,NA,NA,NA,NA,NA
"123",NA,475,87,"Notre Dame","FBS Independents","New England",2001,86,3,24,"Brock Williams","Defensive Back",NA,188,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",NA,14498,87,"Notre Dame","FBS Independents","Green Bay",1972,86,4,8,"Eric Patton","Linebacker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,22810,87,"Notre Dame","FBS Independents","Carolina",1997,87,3,27,"Kinnon Tatum","Linebacker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
