"","playerId","player","team","conference","category","statType","stat"
"1","4429088","Drew Pyne","Notre Dame","FBS Independents","fumbles","FUM","3"
"2","4429088","Drew Pyne","Notre Dame","FBS Independents","passing","PCT","0.646"
"3","4685476","Tobias Merriweather","Notre Dame","FBS Independents","receiving","TD","1"
"4","4685474","Jaden Mickey","Notre Dame","FBS Independents","defensive","PD","0"
"5","4431533","Gabriel Rubio","Notre Dame","FBS Independents","defensive","TD","0"
"6","4372776","Matt Salerno","Notre Dame","FBS Independents","receiving","YPR","12.4"
"7","4431513","Tyler Buchner","Notre Dame","FBS Independents","rushing","YDS","123"
"8","4429088","Drew Pyne","Notre Dame","FBS Independents","passing","TD","22"
"9","4427716","Jack Kiser","Notre Dame","FBS Independents","defensive","TD","0"
"10","4431226","Clarence Lewis","Notre Dame","FBS Independents","interceptions","TD","0"
"11","4569682","Audric Estime","Notre Dame","FBS Independents","receiving","LONG","36"
"12","-6965"," Team","Notre Dame","FBS Independents","rushing","CAR","12"
"13","4426992","Howard Cross III","Notre Dame","FBS Independents","defensive","SACKS","2.5"
"14","4429101","Jordan Botelho","Notre Dame","FBS Independents","defensive","TOT","11"
"15","4429101","Jordan Botelho","Notre Dame","FBS Independents","puntReturns","YDS","4"
"16","4689451","Nolan Ziegler","Notre Dame","FBS Independents","defensive","TOT","1"
"17","4569682","Audric Estime","Notre Dame","FBS Independents","receiving","YDS","135"
"18","4816107","Benjamin Morrison","Notre Dame","FBS Independents","puntReturns","TD","0"
"19","4816107","Benjamin Morrison","Notre Dame","FBS Independents","defensive","QB HUR","0"
"20","4372770","Braden Lenzy","Notre Dame","FBS Independents","receiving","REC","24"
"21","4431226","Clarence Lewis","Notre Dame","FBS Independents","interceptions","INT","1"
"22","4427468","Nana Osafo-Mensah","Notre Dame","FBS Independents","defensive","SOLO","7"
"23","4426457","Isaiah Foskey","Notre Dame","FBS Independents","fumbles","FUM","0"
"24","4431226","Clarence Lewis","Notre Dame","FBS Independents","interceptions","AVG","0.0"
"25","4430804","Chris Tyree","Notre Dame","FBS Independents","kickReturns","LONG","33"
"26","4569604","Brandon Joseph","Notre Dame","FBS Independents","interceptions","INT","1"
"27","4372770","Braden Lenzy","Notre Dame","FBS Independents","defensive","TD","0"
"28","4816107","Benjamin Morrison","Notre Dame","FBS Independents","defensive","TOT","30"
"29","4372770","Braden Lenzy","Notre Dame","FBS Independents","receiving","YDS","309"
"30","4683243","Mitchell Evans","Notre Dame","FBS Independents","receiving","LONG","18"
"31","-6965"," Team","Notre Dame","FBS Independents","rushing","LONG","0"
"32","4426433","Osita Ekwonu","Notre Dame","FBS Independents","defensive","PD","0"
"33","4569682","Audric Estime","Notre Dame","FBS Independents","fumbles","FUM","3"
"34","4685527","Jaylen Sneed","Notre Dame","FBS Independents","defensive","PD","0"
"35","4427716","Jack Kiser","Notre Dame","FBS Independents","defensive","TOT","53"
"36","4594985","Jason Onye","Notre Dame","FBS Independents","defensive","QB HUR","0"
"37","4685509","Gi'Bran Payne","Notre Dame","FBS Independents","rushing","CAR","2"
"38","4431605","Justin Walters","Notre Dame","FBS Independents","defensive","TOT","1"
"39","4426433","Osita Ekwonu","Notre Dame","FBS Independents","defensive","TD","0"
"40","4429174","Kevin Bauman","Notre Dame","FBS Independents","receiving","REC","3"
"41","4372755","Justin Ademilola","Notre Dame","FBS Independents","fumbles","LOST","0"
"42","4427468","Nana Osafo-Mensah","Notre Dame","FBS Independents","defensive","SACKS","0"
"43","4259619","Blake Grupe","Notre Dame","FBS Independents","kicking","FGA","19"
"44","4367829","Jon Sot","Notre Dame","FBS Independents","punting","YDS","2151"
"45","4689451","Nolan Ziegler","Notre Dame","FBS Independents","defensive","SOLO","0"
"46","4367829","Jon Sot","Notre Dame","FBS Independents","punting","In 20","22"
"47","4372770","Braden Lenzy","Notre Dame","FBS Independents","defensive","SOLO","3"
"48","4427404","Cam Hart","Notre Dame","FBS Independents","defensive","TOT","25"
"49","4429086","Michael Mayer","Notre Dame","FBS Independents","defensive","TD","0"
"50","4689451","Nolan Ziegler","Notre Dame","FBS Independents","defensive","TD","0"
"51","4603192","Logan Diggs","Notre Dame","FBS Independents","rushing","YDS","821"
"52","4431226","Clarence Lewis","Notre Dame","FBS Independents","defensive","TOT","27"
"53","4372762","DJ Brown","Notre Dame","FBS Independents","defensive","SACKS","0"
"54","4430121","Aidan Keanaaina","Notre Dame","FBS Independents","defensive","SACKS","0"
"55","4372770","Braden Lenzy","Notre Dame","FBS Independents","rushing","TD","0"
"56","4431600","Jayden Thomas","Notre Dame","FBS Independents","receiving","TD","3"
"57","4372770","Braden Lenzy","Notre Dame","FBS Independents","defensive","PD","0"
"58","4683243","Mitchell Evans","Notre Dame","FBS Independents","rushing","LONG","4"
"59","4361322","Houston Griffith","Notre Dame","FBS Independents","defensive","TFL","1"
"60","4431533","Gabriel Rubio","Notre Dame","FBS Independents","defensive","SOLO","5"
"61","4685474","Jaden Mickey","Notre Dame","FBS Independents","defensive","SOLO","6"
"62","4372762","DJ Brown","Notre Dame","FBS Independents","defensive","SOLO","24"
"63","4432768","Lorenzo Styles Jr.","Notre Dame","FBS Independents","rushing","YPC","16.3"
"64","4429086","Michael Mayer","Notre Dame","FBS Independents","defensive","PD","0"
"65","4603192","Logan Diggs","Notre Dame","FBS Independents","rushing","CAR","165"
"66","4431226","Clarence Lewis","Notre Dame","FBS Independents","puntReturns","YDS","24"
"67","4603192","Logan Diggs","Notre Dame","FBS Independents","fumbles","LOST","0"
"68","4429088","Drew Pyne","Notre Dame","FBS Independents","passing","INT","6"
"69","4426433","Osita Ekwonu","Notre Dame","FBS Independents","defensive","TFL","0"
"70","4430804","Chris Tyree","Notre Dame","FBS Independents","rushing","YPC","4.4"
