"","playerId","player","team","conference","category","statType","stat"
"1","4432246","Ramon Henderson","Notre Dame","FBS Independents","interceptions","TD","0"
"2","4372755","Justin Ademilola","Notre Dame","FBS Independents","defensive","SOLO","18"
"3","-6965"," Team","Notre Dame","FBS Independents","fumbles","FUM","2"
"4","4432768","Lorenzo Styles Jr.","Notre Dame","FBS Independents","rushing","LONG","37"
"5","4432768","Lorenzo Styles Jr.","Notre Dame","FBS Independents","receiving","TD","1"
"6","4372756","Leo Albano","Notre Dame","FBS Independents","rushing","YPC","1.0"
"7","4432246","Ramon Henderson","Notre Dame","FBS Independents","fumbles","FUM","0"
"8","4428872","JD Bertrand","Notre Dame","FBS Independents","defensive","SOLO","65"
"9","4880369","Davis Sherwood","Notre Dame","FBS Independents","defensive","QB HUR","0"
"10","4705623","Kahanu Kia","Notre Dame","FBS Independents","defensive","PD","0"
"11","4603192","Logan Diggs","Notre Dame","FBS Independents","rushing","YPC","4.5"
"12","4372761","TaRiq Bracy","Notre Dame","FBS Independents","interceptions","YDS","0"
"13","4430804","Chris Tyree","Notre Dame","FBS Independents","receiving","REC","24"
"14","4430804","Chris Tyree","Notre Dame","FBS Independents","receiving","YDS","258"
"15","4880369","Davis Sherwood","Notre Dame","FBS Independents","defensive","PD","0"
"16","4372765","C'Bo Flemister","Notre Dame","FBS Independents","rushing","CAR","3"
"17","4430737","Kyren Williams","Notre Dame","FBS Independents","receiving","LONG","55"
"18","4258594","Kurt Hinish","Notre Dame","FBS Independents","defensive","TD","0"
"19","4683487","Joe Alt","Notre Dame","FBS Independents","defensive","PD","0"
"20","4575517","Kyle Hamilton","Notre Dame","FBS Independents","defensive","PD","4"
"21","4372776","Matt Salerno","Notre Dame","FBS Independents","kickReturns","LONG","26"
"22","4431533","Gabriel Rubio","Notre Dame","FBS Independents","defensive","TD","0"
"23","4570065","Jacob Lacey","Notre Dame","FBS Independents","defensive","PD","0"
"24","-6965"," Team","Notre Dame","FBS Independents","rushing","YPC","-1.9"
"25","4432246","Ramon Henderson","Notre Dame","FBS Independents","interceptions","AVG","0.0"
"26","4427786","Harrison Leonard","Notre Dame","FBS Independents","kicking","FGM","0"
"27","4683243","Mitchell Evans","Notre Dame","FBS Independents","receiving","LONG","13"
"28","4432246","Ramon Henderson","Notre Dame","FBS Independents","fumbles","REC","1"
"29","4431533","Gabriel Rubio","Notre Dame","FBS Independents","defensive","TOT","1"
"30","4241990","Isaiah Pryor","Notre Dame","FBS Independents","defensive","SACKS","1"
"31","4372781","Michael Vinson","Notre Dame","FBS Independents","defensive","TD","0"
"32","4258603","Drew White","Notre Dame","FBS Independents","defensive","TFL","4.5"
"33","4432768","Lorenzo Styles Jr.","Notre Dame","FBS Independents","rushing","TD","0"
"34","4431683","Alexander Ehrensberger","Notre Dame","FBS Independents","defensive","PD","0"
"35","4427716","Jack Kiser","Notre Dame","FBS Independents","interceptions","TD","2"
"36","4430737","Kyren Williams","Notre Dame","FBS Independents","defensive","TOT","1"
"37","4361322","Houston Griffith","Notre Dame","FBS Independents","defensive","SOLO","23"
"38","4426457","Isaiah Foskey","Notre Dame","FBS Independents","fumbles","REC","1"
"39","4428872","JD Bertrand","Notre Dame","FBS Independents","fumbles","LOST","0"
"40","4430804","Chris Tyree","Notre Dame","FBS Independents","rushing","LONG","33"
"41","-6965"," Team","Notre Dame","FBS Independents","rushing","LONG","0"
"42","4431226","Clarence Lewis","Notre Dame","FBS Independents","defensive","TOT","53"
"43","4258586","Avery Davis","Notre Dame","FBS Independents","receiving","YDS","386"
