"","gameId","week","team","opponent","offense.plays","offense.drives","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.powerSuccess","offense.stuffRate","offense.lineYards","offense.lineYardsTotal","offense.secondLevelYards","offense.secondLevelYardsTotal","offense.openFieldYards","offense.openFieldYardsTotal","offense.standardDowns.ppa","offense.standardDowns.successRate","offense.standardDowns.explosiveness","offense.passingDowns.ppa","offense.passingDowns.successRate","offense.passingDowns.explosiveness","offense.rushingPlays.ppa","offense.rushingPlays.totalPPA","offense.rushingPlays.successRate","offense.rushingPlays.explosiveness","offense.passingPlays.ppa","offense.passingPlays.totalPPA","offense.passingPlays.successRate","offense.passingPlays.explosiveness","defense.plays","defense.drives","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.powerSuccess","defense.stuffRate","defense.lineYards","defense.lineYardsTotal","defense.secondLevelYards","defense.secondLevelYardsTotal","defense.openFieldYards","defense.openFieldYardsTotal","defense.standardDowns.ppa","defense.standardDowns.successRate","defense.standardDowns.explosiveness","defense.passingDowns.ppa","defense.passingDowns.successRate","defense.passingDowns.explosiveness","defense.rushingPlays.ppa","defense.rushingPlays.totalPPA","defense.rushingPlays.successRate","defense.rushingPlays.explosiveness","defense.passingPlays.ppa","defense.passingPlays.totalPPA","defense.passingPlays.successRate","defense.passingPlays.explosiveness"
"1",212510158,3,"Notre Dame","Nebraska",62,14,-0.194132190646142,-12.0361958200608,0.290322580645161,0.978278829714641,0.5,0.333333333333333,1.79259259259259,48,0.740740740740741,20,1.18518518518519,32,-0.311761857561338,0.315789473684211,0.800410196823216,-0.00788521803041554,0.25,1.33401609549749,-0.188690125427304,-5.0946333865372,0.296296296296296,0.841900759107091,-0.191237301079719,-6.11959363455101,0.3125,1.08738128620068,55,13,0.0230608730545881,1.26834801800234,0.4,0.929770814317568,0.5,0.130434782608696,3.36739130434783,155,0.760869565217391,35,0.195652173913043,9,0.0300619497443092,0.431818181818182,0.762732881046822,-0.00494343370429637,0.272727272727273,1.98767772503229,0.0219066697130808,1.00770680680172,0.391304347826087,0.756734999846093,0.0289601345778475,0.260641211200627,0.444444444444444,1.70843197943921
"2",212650087,5,"Notre Dame","Michigan State",71,13,-0.123785626858286,-8.78877950693832,0.380281690140845,0.895582234807931,1,0.225,2.9025,116,1.175,47,0.65,26,0.00296050851926298,0.511111111111111,0.642115881880992,-0.34315393808866,0.153846153846154,2.35301376413783,-0.151974056395092,-6.07896225580366,0.4,0.615226459849867,0.0262972314320125,0.710025248664338,0.407407407407407,1.30337245292875,67,14,-0.02528472626606,-1.69407665982602,0.238805970149254,1.5255642214002,0,0.243243243243243,2.7972972972973,104,1,37,0.540540540540541,20,-0.1526917548199,0.275,1.18163501111741,0.163466427147036,0.185185185185185,2.28220848402232,-0.0498976680130827,-1.84621371648406,0.243243243243243,0.854206212669514,0.154971284929103,4.33919597801489,0.25,2.38873880405393
"3",212720245,6,"Notre Dame","Texas A&M",66,12,-0.214533538634726,-14.1592135498919,0.287878787878788,1.06031078672568,0.5,0.25,2.69642857142857,76,0.785714285714286,22,0.142857142857143,4,-0.370065306310548,0.292682926829268,0.756817436446083,0.040538560353621,0.28,1.58058510149071,-0.0736316764298054,-2.06168694003455,0.285714285714286,0.633621684307318,-0.341966805376651,-11.6268713828061,0.323529411764706,1.37063013393904,68,13,-0.0892148879308913,-6.06661237930061,0.279411764705882,1.28926099090026,0.75,0.256410256410256,2.09487179487179,82,0.615384615384615,24,0.307692307692308,12,-0.265725325589788,0.292682926829268,0.862406087853723,0.178819480365951,0.259259259259259,2.02101225326574,-0.200529010336356,-7.82063140311789,0.256410256410256,0.888422224815224,0.109998772762323,2.96996686458272,0.333333333333333,1.73463739766141
"4",212790087,7,"Notre Dame","Pittsburgh",68,11,-0.0418989923573372,-2.84913148029893,0.382352941176471,0.817355686035586,0.666666666666667,0.150943396226415,2.8,148,0.509433962264151,27,0.339622641509434,18,-0.082616478776305,0.411764705882353,0.591985774706957,0.0802534668995659,0.294117647058824,1.76390931361583,-0.126756508661241,-6.71809495904576,0.377358490566038,0.565036009276495,0.316200597909811,4.42680837073736,0.428571428571429,1.65842127523255,52,11,0.0373188552057662,1.94058047069984,0.365384615384615,0.927533390074788,1,0.333333333333333,2.0375,49,0.875,21,0.0833333333333333,2,-0.216109228826544,0.387096774193548,0.561315812313734,0.411426979253462,0.333333333333333,1.55533495195088,-0.145563456956928,-3.49352296696627,0.291666666666667,0.706447899955319,0.344696508981241,7.92801970656853,0.521739130434783,1.05649992597781
"5",212860087,8,"Notre Dame","West Virginia",82,12,-0.0323869741650362,-2.65573188153297,0.378048780487805,0.817385313751225,0.666666666666667,0.225806451612903,2.4258064516129,150,0.709677419354839,44,0.806451612903226,50,-0.0568530041701343,0.418181818181818,0.597166896616352,0.017451235104608,0.296296296296296,1.45051326301398,-0.0521764767309394,-3.23494155731824,0.403225806451613,0.583801235151821,0.160207918875317,2.40311878312975,0.4,1.79065230791541,57,12,-0.174824524197794,-9.96499787927426,0.298245614035088,0.834761951944253,1,0.333333333333333,2.18787878787879,72,0.96969696969697,32,0.939393939393939,31,-0.235865452826518,0.305555555555556,0.850285584265391,-0.0701829322628388,0.285714285714286,0.806301959355501,-0.117166780394758,-3.86650375302703,0.363636363636364,0.861753519386789,-0.230772972399945,-5.30777836519873,0.217391304347826,0.769982190082168
"6",213000103,10,"Notre Dame","Boston College",82,12,-0.057005135207781,-4.67442108703805,0.378048780487805,0.854884909070188,0.714285714285714,0.160714285714286,3.00357142857143,168,1.07142857142857,60,0.839285714285714,47,-0.082634631939119,0.448275862068966,0.654983972673447,0.00493281522628575,0.208333333333333,1.89436977833324,0.0377206793025183,2.11235804094102,0.464285714285714,0.647160431922675,-0.203041616672136,-4.87299880013126,0.208333333333333,1.93505219023725,48,12,-0.116274753517424,-5.58118816883634,0.3125,0.815898689700963,0,0.266666666666667,2.8,84,1.36666666666667,41,0.6,18,0.0530247062858579,0.382352941176471,1.01375695997365,-0.52743058446825,0.142857142857143,-0.470180067071492,-0.0592605129930838,-1.77781538979251,0.366666666666667,0.775745053915327,-0.0921481438253042,-1.29007401355426,0.285714285714286,0.926321188111463
"7",213070087,11,"Notre Dame","Tennessee",73,11,-0.14694897157034,-10.7272749246348,0.452054794520548,0.729368420271954,0.636363636363636,0.282608695652174,-0.0217391304347826,-1,0.847826086956522,39,0.304347826086957,14,-0.0386797899933721,0.518518518518518,0.559906761879456,-0.454661382368039,0.263157894736842,1.67835370726995,-0.315608122189624,-14.5179736207227,0.478260869565217,0.492552587122526,0.233217973962291,5.83044934905728,0.44,1.20300008657081,64,12,0.0364038997483719,2.3298495838958,0.328125,1.26099246265253,0.4,0.28125,1.7125,55,0.3125,10,NA,NA,-0.016376639172545,0.388888888888889,0.801173732440994,0.104264592646694,0.25,2.1806299230756,-0.152992090733319,-4.8957469034662,0.28125,0.558057092101548,0.284024993934958,7.95269983017883,0.428571428571429,1.78819399056576
"8",213280024,14,"Notre Dame","Stanford",64,13,-0.117896542646658,-7.5453787293861,0.28125,1.09283212184132,0.5,0.209302325581395,3.07674418604651,132,1,43,1.81395348837209,78,-0.149098811517626,0.411764705882353,0.750476519551414,-0.0825339712595609,0.133333333333333,2.291076729856,0.149649750108061,6.43493925464662,0.395348837209302,1.11270540997691,-0.664448409971918,-12.6245197894664,0.0526315789473684,0.754986223536352,68,13,0.0103934562754505,0.706755026730633,0.323529411764706,1.36313594843445,0.2,0.216216216216216,2.91081081081081,108,1.43243243243243,53,2.32432432432432,86,-0.102256904461438,0.341463414634146,1.02148639844915,0.181455115172208,0.296296296296296,1.96102266090872,0.0985170846574889,3.64513213232709,0.405405405405405,1.01852761013186,-0.023189444146274,-0.649304436095671,0.25,2.10158238765428
"9",213352509,15,"Notre Dame","Purdue",56,13,-0.260613504833671,-14.5943562706856,0.196428571428571,0.927322235356702,0.5,0.27027027027027,2.04054054054054,76,0.756756756756757,28,0.756756756756757,28,-0.309242887729676,0.243243243243243,0.727972959752993,-0.165914180246715,0.105263157894737,1.82439397557339,-0.222268232638754,-8.22392460763391,0.243243243243243,1.04903258747142,-0.282229177908467,-4.233437668627,0.133333333333333,0.379625650840451,84,17,-0.120705620159192,-10.1392720933721,0.30952380952381,1.13494999347951,0.25,0.375,1.18125,38,0.59375,19,0.4375,14,-0.318171292599065,0.313725490196078,0.631282579763398,0.184468600884248,0.303030303030303,1.94081785542528,-0.280050514335595,-8.96161645873903,0.3125,0.485237554419981,-0.0159869478054031,-0.815334338075556,0.313725490196078,1.54102026789171
"10",230010087,1,"Notre Dame","NC State",84,11,-0.141543261050318,-11.8896339282267,0.357142857142857,0.926172359110883,0.384615384615385,0.315789473684211,1.86578947368421,71,0.631578947368421,24,0.0263157894736842,1,-0.200040308763617,0.418181818181818,0.736674404503841,-0.030600584352681,0.241379310344828,1.54880849567688,-0.225316196163859,-8.56201545422663,0.342105263157895,0.85914162253758,-0.0515237603362278,-2.26704545479402,0.386363636363636,0.977431157666939,67,12,-0.0268557077454548,-1.79933241894547,0.343283582089552,0.88816615688636,0.5,0.36,1.636,41,0.56,14,0,0,-0.000401697893839586,0.409090909090909,0.702397159750666,-0.0774633787659361,0.217391304347826,1.55693454657486,-0.20719183853219,-5.17979596330474,0.32,0.567363180359992,0.129622959894042,4.92567247597359,0.394736842105263,1.05926107770042
