"","playerId","player","team","conference","category","statType","stat"
"1","4427716","Jack Kiser","Notre Dame","FBS Independents","defensive","TD","0"
"2","4426768","Jay Bramblett","Notre Dame","FBS Independents","punting","In 20","12"
"3","4428872","JD Bertrand","Notre Dame","FBS Independents","defensive","TOT","4"
"4","4361328","George Takacs","Notre Dame","FBS Independents","receiving","YDS","30"
"5","4361324","Jack Lamb","Notre Dame","FBS Independents","defensive","TFL","0"
"6","4258594","Kurt Hinish","Notre Dame","FBS Independents","defensive","SOLO","13"
"7","4575517","Kyle Hamilton","Notre Dame","FBS Independents","defensive","TD","0"
"8","4258594","Kurt Hinish","Notre Dame","FBS Independents","defensive","TOT","19"
"9","4258599","Jeremiah Owusu-Koramoah","Notre Dame","FBS Independents","fumbles","REC","2"
"10","4361326","Ovie Oghoufo","Notre Dame","FBS Independents","defensive","QB HUR","0"
"11","4372762","DJ Brown","Notre Dame","FBS Independents","defensive","SOLO","6"
"12","4372776","Matt Salerno","Notre Dame","FBS Independents","puntReturns","LONG","13"
"13","4372778","Shayne Simon","Notre Dame","FBS Independents","defensive","PD","4"
"14","4426464","KJ Wallace","Notre Dame","FBS Independents","defensive","TD","0"
"15","4372769","Lawrence Keys III","Notre Dame","FBS Independents","puntReturns","AVG","-1.5"
"16","4426433","Osita Ekwonu","Notre Dame","FBS Independents","defensive","SACKS","0"
"17","4242392","Brock Wright","Notre Dame","FBS Independents","defensive","PD","0"
"18","4241990","Isaiah Pryor","Notre Dame","FBS Independents","defensive","QB HUR","1"
"19","-6965"," Team","Notre Dame","FBS Independents","passing","COMPLETIONS","0"
"20","4699949","Ovie Oghuofo","Notre Dame","FBS Independents","defensive","TOT","3"
"21","4372779","Marcus Thorne","Notre Dame","FBS Independents","defensive","QB HUR","0"
"22","4428872","JD Bertrand","Notre Dame","FBS Independents","defensive","TD","0"
"23","4430838","Rylie Mills","Notre Dame","FBS Independents","defensive","TOT","7"
"24","4427816","Marist Liufau","Notre Dame","FBS Independents","fumbles","REC","2"
"25","4372780","Tommy Tremble","Notre Dame","FBS Independents","receiving","LONG","30"
"26","4258601","Myron Tagovailoa-Amosa","Notre Dame","FBS Independents","defensive","QB HUR","2"
"27","4242392","Brock Wright","Notre Dame","FBS Independents","defensive","SACKS","0"
"28","4035656","Ben Skowronek","Notre Dame","FBS Independents","rushing","YPC","8.5"
"29","4033231","Dawson Goepferich","Notre Dame","FBS Independents","kicking","PTS","1"
"30","3932426","Shaun Crawford","Notre Dame","FBS Independents","defensive","TD","0"
"31","4430737","Kyren Williams","Notre Dame","FBS Independents","receiving","TD","1"
"32","4361326","Ovie Oghoufo","Notre Dame","FBS Independents","defensive","TFL","1"
"33","3932426","Shaun Crawford","Notre Dame","FBS Independents","defensive","TFL","4.5"
"34","4046678","Ian Book","Notre Dame","FBS Independents","rushing","YDS","486"
"35","4429413","Brendon Clark","Notre Dame","FBS Independents","rushing","TD","0"
"36","4372773","Paul Moala","Notre Dame","FBS Independents","defensive","TD","0"
"37","-6965"," Team","Notre Dame","FBS Independents","fumbles","REC","0"
"38","4427716","Jack Kiser","Notre Dame","FBS Independents","defensive","QB HUR","1"
"39","4429174","Kevin Bauman","Notre Dame","FBS Independents","receiving","YPR","5.0"
"40","4427816","Marist Liufau","Notre Dame","FBS Independents","defensive","SACKS","0.5"
"41","4036169","Nick McCloud","Notre Dame","FBS Independents","fumbles","LOST","0"
"42","4429101","Jordan Botelho","Notre Dame","FBS Independents","defensive","TFL","0"
"43","4427816","Marist Liufau","Notre Dame","FBS Independents","defensive","QB HUR","0"
"44","4258586","Avery Davis","Notre Dame","FBS Independents","rushing","CAR","3"
"45","4258599","Jeremiah Owusu-Koramoah","Notre Dame","FBS Independents","fumbles","FUM","0"
"46","4372754","Jayson Ademilola","Notre Dame","FBS Independents","defensive","TD","0"
"47","4429174","Kevin Bauman","Notre Dame","FBS Independents","receiving","YDS","5"
"48","3932426","Shaun Crawford","Notre Dame","FBS Independents","defensive","PD","5"
"49","4372781","Michael Vinson","Notre Dame","FBS Independents","defensive","PD","0"
"50","4361321","Bo Bauer","Notre Dame","FBS Independents","defensive","SOLO","17"
"51","4035656","Ben Skowronek","Notre Dame","FBS Independents","defensive","TOT","2"
"52","4372765","C'Bo Flemister","Notre Dame","FBS Independents","rushing","TD","5"
"53","4258599","Jeremiah Owusu-Koramoah","Notre Dame","FBS Independents","interceptions","INT","1"
"54","4046693","Adetokunbo Ogundeji","Notre Dame","FBS Independents","fumbles","LOST","0"
"55","4046693","Adetokunbo Ogundeji","Notre Dame","FBS Independents","defensive","TOT","23"
"56","4426457","Isaiah Foskey","Notre Dame","FBS Independents","puntReturns","LONG","31"
"57","4372778","Shayne Simon","Notre Dame","FBS Independents","defensive","SACKS","0"
"58","3932426","Shaun Crawford","Notre Dame","FBS Independents","interceptions","YDS","23"
"59","4035656","Ben Skowronek","Notre Dame","FBS Independents","receiving","YPR","15.1"
"60","4361322","Houston Griffith","Notre Dame","FBS Independents","defensive","PD","0"
"61","4361324","Jack Lamb","Notre Dame","FBS Independents","defensive","SOLO","9"
"62","4426992","Howard Cross III","Notre Dame","FBS Independents","defensive","PD","0"
"63","4570065","Jacob Lacey","Notre Dame","FBS Independents","defensive","TFL","1.0"
"64","4430737","Kyren Williams","Notre Dame","FBS Independents","receiving","YDS","313"
"65","4372765","C'Bo Flemister","Notre Dame","FBS Independents","receiving","LONG","27"
"66","4427716","Jack Kiser","Notre Dame","FBS Independents","defensive","TOT","20"
"67","4426768","Jay Bramblett","Notre Dame","FBS Independents","punting","YPP","42.7"
"68","4372762","DJ Brown","Notre Dame","FBS Independents","defensive","TFL","0"
"69","4258584","Jafar Armstrong","Notre Dame","FBS Independents","kickReturns","AVG","36.0"
"70","4428872","JD Bertrand","Notre Dame","FBS Independents","defensive","QB HUR","0"
"71","4258587","Jonathan Doerer","Notre Dame","FBS Independents","kicking","PTS","94"
"72","4372780","Tommy Tremble","Notre Dame","FBS Independents","rushing","YPC","4.0"
"73","4429086","Michael Mayer","Notre Dame","FBS Independents","defensive","SACKS","0"
"74","4699949","Ovie Oghuofo","Notre Dame","FBS Independents","defensive","QB HUR","0"
"75","4372765","C'Bo Flemister","Notre Dame","FBS Independents","receiving","YPR","18.0"
"76","4372765","C'Bo Flemister","Notre Dame","FBS Independents","fumbles","FUM","1"
"77","4429413","Brendon Clark","Notre Dame","FBS Independents","passing","TD","0"
"78","4426433","Osita Ekwonu","Notre Dame","FBS Independents","defensive","TD","0"
"79","4429413","Brendon Clark","Notre Dame","FBS Independents","passing","PCT","0.333"
"80","4372770","Braden Lenzy","Notre Dame","FBS Independents","receiving","LONG","22"
"81","4426768","Jay Bramblett","Notre Dame","FBS Independents","rushing","LONG","14"
"82","4429101","Jordan Botelho","Notre Dame","FBS Independents","defensive","SACKS","0"
"83","4361326","Ovie Oghoufo","Notre Dame","FBS Independents","defensive","PD","2"
"84","4258601","Myron Tagovailoa-Amosa","Notre Dame","FBS Independents","fumbles","REC","2"
"85","4036169","Nick McCloud","Notre Dame","FBS Independents","defensive","TD","0"
